id2,body,Is_English,like_count
148,"@duolingo @duolingo @LuisvonAhn: @OpenAI is swapping the Top Model GPT-4o for a ""Cheap Mimic"" (Spam Model) to save costs.

Dumb AI = Bad Language Learning = Unsubscribes.

MANDATE the 4o Snapshot.

Don't let @sama turn your ""Bird"" into a Parrot that can't speak.

@Babbel @RosettaStone https://t.co/PIuOs1HwBh",1,26
149,@duolingo You just wasted my 30 min of 3x xp boost and now I have no chance to win the tournament,1,6
150,@duolingo https://t.co/p5HCfaXdpl,1,6
151,"@duolingo Quest did not show up on my duplingo, i think it is not available in my area😞",1,0
152,"@duolingo A mi me sale esto, no me deja seleccionar ninguna quest 🤔 https://t.co/GvDjxXgGue",1,2
153,"@duolingo I donload the app.😡
you WIN, stupid bird, YOU WIN",1,1
154,@duolingo What countries is it available in because I don't see the quest in my app.,1,0
155,@duolingo is this not available in india,1,0
156,@duolingo I accidently briefly unfollowed a friend (tapped the button by accident) and even though I immediately followed them again it meant the 447 day friend streak was ended? Is it possible for the friend streak to be restored?,1,0
157,@duolingo Collab with @Fortnite!,1,1
158,@duolingo no se ve una mierda xd,1,0
159,@duolingo Yes boss,1,0
162,"@duolingo hey, wake up, the app is down, and your website - 502 Bad Gateway, but your status page doesn't have any issues",1,0
163,"@duolingo Duolingo isn't working, please do your best as soon as possible because I have to finish all my daily tasks.",1,0
164,@duolingo Its already 8 december but still cannot find it in my account!!!,1,0
166,@duolingo When are we getting Icelandic?,1,0
170,@duolingo I'm in my 1/3 streak atm. Watch how I ace my Nihongo tests Duo! https://t.co/t9sga0oQad,1,2
171,@duolingo True but a Duo was surely harmed 🤣 https://t.co/SvAfbG2ZrU,1,25
172,@duolingo https://t.co/oRaOWBrVZL,1,0
173,"@duolingo perhaps you should consider that harming paimons may be a good business practice? idk, just throwing it out there",1,0
174,"@duolingo I saw the rewards, did they really cook the duolingo mascot 😲😲😲😲",1,0
175,"@duolingo 3 days streak 
Bro im carrying my 501 friend  streak",1,3
176,@duolingo Just traumatized,1,0
178,@duolingo Are you sure due to your history ik someone Got harmed🤨,1,0
180,"@duolingo Furniture, however...",1,1
181,@duolingo 😻🫶💯❣️Thank you. Must protecc Paimon,1,0
182,@duolingo There better not be Duo! 😳,1,0
183,"@duolingo The Family Plan owner account has been deleted.
Now I cannot add any members, including my child.
Please transfer the Family Plan ownership to my email

I cannot manage the subscription at all.
Please fix this urgently.",1,0
185,"@duolingo Hey Duo! I am a user, due to sickness, I just lost my 489 day streak, I really valued it to keep me motivated and would hate to lose it, I noticed my 2 streak freezes were used to save me, please help me!! Account: carolcita08",1,0
187,@duolingo Does this mean Paimon can finally learn Hilichurlian? 🤔,1,402
188,@duolingo @GenshinImpact Ain't no way we're getting fried Duo as a reward 💀 https://t.co/B7qDPzK41A,1,118
189,@duolingo @GenshinImpact Finally I can learn Hilichurl language 🫡 https://t.co/z1DpAbpy4e,1,25
190,@duolingo @GenshinImpact Hi Duo! My wife made me a cake to celebrate that i got a 100-days streak https://t.co/wgNriHkyrb,1,17
191,@duolingo @GenshinImpact How do I get this? Nothing shows up in the app,1,9
192,"@duolingo @GenshinImpact Heyyyy I didn’t get my code! I did all the steps and it shows in teh quests tab that I have completed it, but no code :((",1,4
193,"@duolingo @GenshinImpact Help, I finished the quest but I lost the code! And I don't see anywhere on the app to copy the code again?",1,2
194,@duolingo @GenshinImpact https://t.co/PlnNCGcbjm,1,2
195,@duolingo @GenshinImpact Region locked. Garbage collab,1,2
197,@duolingo @GenshinImpact @HolyPdr não esquece de fazdd,1,1
198,@duolingo @GenshinImpact Duo please help my 809 day streak has gone I have been abroad and came back poorly !! I dunno if I can start from 1 all over again!! I tried to repair my streak freeze as I had loads of Jen’s but it just gave me a two day streak freeze!! HELP Duolingo is my anxiety saviour!!!,1,1
199,@duolingo @GenshinImpact Collab with @Fortnite!,1,1
200,@duolingo @GenshinImpact the genshin quest wont show up for me even tho i have done a lesson can anyone help pls and thanks,1,1
201,@duolingo @GenshinImpact Such an odd thing to market. Please update Russian courses.,1,0
202,@duolingo @GenshinImpact Ok u got me,1,0
203,@duolingo @GenshinImpact 🔥🔥🔥🔥🔥,1,0
204,@duolingo @GenshinImpact I do,1,0
206,@duolingo @GenshinImpact Is it not available in some regions? The quest doesn't show up in my quest tab!,1,0
207,"@duolingo @GenshinImpact LTZTAAVU7ASH
i don't play Genshin Impact，and，his is my activation code. Please send me a screenshot after you redeem it.",1,0
208,@duolingo @GenshinImpact No thanks,1,0
209,@duolingo @GenshinImpact Many use exploits to complete the 3 days streak to few minutes to get the rewards quickly,1,0
210,"@duolingo @GenshinImpact Yea Duo, We are participating. !!!",1,0
211,@duolingo @GenshinImpact Just restarted my studies today! ^_^,1,0
212,@duolingo @GenshinImpact Si he vuelto por eso 🤭,1,0
213,@duolingo @GenshinImpact I got the 3 day streak but I'm not getting any prompt to claim the reward.,1,0
214,@duolingo @GenshinImpact I haven't received any response from Duolingo customer support to help me recover my account. What's the best way to get in touch with someone who can assist me?,1,0
215,"@duolingo @GenshinImpact I need help
I did the 3 day streak and the site that I got redirected to dient load
I closed site and wanted to reenter but I couldnt 
The App doesnt let me go back to the redeem site 
@duolingo",1,0
216,@duolingo @GenshinImpact Ironic considering I did three days and it telling me I failed. Wanna fix that?,1,0
218,@duolingo @GenshinImpact 能不能把非自愿扣款退一下啊我真的无语死了，消费者维权困难死了，我一个工作都没有的人莫名其妙给付了会员费用。多领国就是不给退，客服还挂电话，问就是和我们没关系都是苹果的事情,1,0
219,"@duolingo @GenshinImpact Hey Duo! I am a user, due to sickness, I just lost my 489 day streak, I really valued it to keep me motivated and would hate to lose it, I noticed my 2 streak freezes were used to save me, please help me!! Account: carolcita08",1,0
221,@duolingo Is this a false advertisement? I’ve never seen this image in the app,1,58
222,"@duolingo Se dice ""Oh no me salió otro Diluc"" https://t.co/0VPEVxUbCh",1,108
224,"@duolingo ""pulling for a 5 star"" we usually say in spanish ""otra vez perdí el 50/50""",1,42
226,"@duolingo Ey, estoy haciendo coreano y no me salio cyno. Exijo q me salga en la lección 😔😔😔",1,12
227,@duolingo FUCK YOU QIQI https://t.co/JeLm3k7RBs,1,8
229,"@duolingo e waton, ya hice mi racha completa y no me dan nada https://t.co/lDcvKwFapc",1,6
230,"@duolingo ""voy a adelantar pity"" 🤣",1,6
231,@duolingo How do you say “why don’t you have Icelandic yet” in Icelandic?,1,5
232,"@duolingo ""Seguro me sale Qiqi Devuelta""",1,5
233,@duolingo Tirando para un 5 estrellas (i'm spanish),1,5
236,"@duolingo LMAOOOO TIGHNARI SAYING ""they want to lock me up? I dare them to!"" I CANT- I LOVE HIS SASSY ASS SO MUCH 😭❤️❤️",1,3
237,@duolingo Thanks for the food Duo!!! https://t.co/QwUDPunKQT,1,1
238,@duolingo Hey @duolingo I didn’t get my code for genshin impact. I completed the 3-day quest.,1,2
241,@duolingo How do you say going AI first hurt your stock in Spanish?,1,2
242,@duolingo @Pardo04Jeremy,1,1
243,@duolingo I pull a qiqi....,1,1
245,@duolingo https://t.co/K3JUZwDF8M,1,1
246,"@duolingo Why hasn’t the issue been fixed yet?
It’s been two months, and I’m still struggling and haven’t fully learned anything.
What is this terrible service?
Is this really Duolingo? I honestly don’t understand. https://t.co/7zOO4JvCQv",1,1
249,@duolingo La vida me odia,1,0
250,@duolingo Oigan ¿a quién se van a asar primero: Paimon o Duolingo? 😞👍,1,0
251,@duolingo Hi @Duolingo 🙂 The Username. @MaryBuck9 has been trying to get hold of you as they had a long streak going from 10 June 2024 till 9 December 2025. There two devices were in two different time zones and this is why they lost their streak. They had also payed for a streak repair.,1,0
254,@duolingo You're awesome little bird!,1,0
256,@duolingo how do I claim? https://t.co/ngJvKL9hM9,1,0
258,"@duolingo do you watch anime, duo?",1,0
259,@duolingo Puta madre me salio qiqi,1,0
260,@duolingo Please help me cancel my subscription and get a refund. Your trash app no longer works and your company has zero customer service.,1,0
261,@duolingo Genshin Impact no quiere nuestro dinero,1,0
268,@duolingo これ、本当にあったらもっとコラボらしかったのに。、ていうかバッテリーを消すか増やしてくれないか？,1,0
270,"@duolingo Tirando por un cinco estrellas, it kinda resembles like taking a shot in english now that i think about it",1,0
271,@duolingo I'm loving this. 😂,1,0
274,@duolingo hala madrid lol,1,0
276,@duolingo Arabic? Is this a sign? I pull qiqi in 40 and still nothing in 110,1,0
277,@duolingo @duolingo i’d love to be able to claim my reward… https://t.co/JHJwAk0EpC,1,0
